"Averaging.Time","Stack.Height.meters","X10","X20","X30","X40","X50","X60","X70","X80","X90","X100","X120","X140","X160","X180","X200","X250","X300","X350","X400","X500","X600","X700","X800","X900","X1000","X1500","X2500","X5000","X7500","X10000"
"1-hr","75","124","124","124","124","124","124","124","124","124","124","123","123","122","122","119","87","58","56","54","49","44","41","38","36","34","26","21","17","14","12"
"1-hr","76","121","121","121","121","121","121","121","121","121","121","120","120","119","119","118","88","56","54","52","48","43","40","37","35","33","26","21","16","14","12"
"1-hr","77","118","118","118","118","118","118","118","118","118","118","117","117","116","116","115","88","55","53","51","47","42","39","37","35","33","25","20","16","14","11"
"1-hr","78","115","115","115","115","115","115","115","115","115","115","114","114","113","113","112","88","53","52","50","46","42","38","36","34","32","25","20","16","13","11"
"1-hr","79","112","112","112","112","112","112","112","112","112","112","112","111","111","110","110","86","53","51","49","45","41","38","35","33","31","25","20","15","13","11"
"1-hr","80","109","109","109","109","109","109","109","109","109","109","109","109","108","108","107","85","56","50","48","44","40","37","35","33","31","24","19","15","13","11"
"1-hr","81","107","107","107","107","107","107","107","107","107","107","106","106","106","105","105","87","58","49","47","43","40","36","34","32","30","24","19","15","13","11"
"1-hr","82","104","104","104","104","104","104","104","104","104","104","104","104","103","103","103","86","61","48","46","43","39","35","33","31","30","23","19","14","12","11"
"1-hr","83","102","102","102","102","102","102","102","102","102","102","102","101","101","101","100","84","63","47","46","42","38","35","33","31","29","23","18","14","12","11"
"1-hr","84","100","100","100","100","100","100","100","100","100","100","99","99","99","98","98","82","65","46","44","41","37","34","32","30","29","23","18","14","12","10"
"1-hr","85","98","98","98","98","98","98","98","98","98","98","97","97","97","96","96","80","64","45","44","40","37","34","32","30","28","22","18","14","12","10"
"1-hr","86","96","96","96","96","96","96","96","96","96","95","95","95","95","94","94","81","63","44","43","39","36","33","31","29","28","22","17","13","12","10"
"1-hr","87","94","94","94","94","94","94","94","94","94","93","93","93","93","92","92","80","63","43","42","39","36","33","30","29","27","22","17","13","11","10"
