Facility,Pollutant,Potential Emis Rate (lbs/hr),Unrestricted Emis Rate (tons/yr),Limited Emis Rate (tons/yr)
,Sulfur Dioxide,"1,522.422","3,251.14","6,667.7"
,Carbon Monoxide,223.21,"48,194.06",977.66
,PM < 10 micron,230.0729,"100,550.50242","1,007.68621"
,Hydrogen Sulfide (H2S),1.92,578.16,8.24
USG Interiors LLC - Cloquet,Nitrogen Oxides,88.060000000,366.323,324.41
,Sulfur Dioxide,0.5026,2.25266,2.25266
,Carbon Monoxide,330.16,"1,443.804","1,053.264"
,PM < 10 micron,144.5641,"62,504.434876",348.608876
,PM < 2.5 micron,140.34654,"62,486.73021",333.29121
Valero Welcome Plant,Nitrogen Oxides,61.384,245.01,233.16
,Sulfur Dioxide,19.0582,80.5758,80.5604
,Carbon Monoxide,45.98,192.98,191.47
,PM < 10 micron,27.67,"2,275.2256",84.83
,PM < 2.5 micron,22.15,"2,267.61185",67.51625
Viking Drill & Tool Inc,PM < 10 micron,9,39.44,39.44
,PM < 2.5 micron,9,39.44,39.44
Viking Gas Transmission - Ada,Nitrogen Oxides,240.01,"1,051.74","1,024.09"
,Sulfur Dioxide,0.337,1.5,1.4867
,Carbon Monoxide,59.4,260.06,214.37
,PM < 10 micron,2.81,12.23,12.04
Viking Gas Transmission - Angus,Nitrogen Oxides,229,"1,003.03",975.4
,Sulfur Dioxide,0.342,1.502,1.4886
,Carbon Monoxide,59.36,260.09,214.4
,PM < 10 micron,2.81,12.23,12.04
Viking Gas Transmission - Cushing,Nitrogen Oxides,182.8,800.52,784.89
,Sulfur Dioxide,0.326,1.47,1.462
,Carbon Monoxide,50.14,222.67,193.97
,PM < 10 micron,2.255,9.795,9.686
Viking Gas Transmission - Frazee,Nitrogen Oxides,110.592,484.13,456.51
,Sulfur Dioxide,0.328,1.458,1.4446
,Carbon Monoxide,52.85,231.32,185.61
,PM < 10 micron,2.15,9.43,9.23
Viking Gas Transmission - Humboldt,Nitrogen Oxides,120.42,527.44,508.35
,Sulfur Dioxide,0.043,0.2,0.183
,Carbon Monoxide,34.78,152.41,121.39
,PM < 10 micron,3.47,15.1,14.844
,PM < 2.5 micron,3.4692,15.103,14.8467
Viking Gas Transmission - Milaca Station 2217,Nitrogen Oxides,138.1141,604.9366,577.3124
,Sulfur Dioxide,0.179496,0.785966,0.773075
,Carbon Monoxide,31.958,139.9858,94.3126
,PM < 10 micron,2.261553,9.9053,9.597429
,PM < 2.5 micron,2.261553,9.905306,9.597429
Viking Waterbeds Inc,Nitrogen Oxides,0.3,1.33,1.33
,Sulfur Dioxide,0.016,0.071,0.071
,Carbon Monoxide,0.44,1.9,1.9
,PM < 10 micron,7.76,137.46,34.26
Virginia Department of Public Utilities,Nitrogen Oxides,776.02,"3,733.64",480
,Sulfur Dioxide,"2,134.54821","10,301.9044",103.5944
,Carbon Monoxide,759.72,"4,133.46","2,835.7"
,PM < 10 micron,339.7929,"4,206.7945","1,464.0345"
,PM < 2.5 micron,54.285402224,561.519305,193.459305
Western Lake Superior Sanitary District,Nitrogen Oxides,80.126,214.872,68.851
,Sulfur Dioxide,60.59,289.345,19.635
,Carbon Monoxide,75.467,290.554,40.025
,PM < 10 micron,4.094,18.51,6.683
,PM < 2.5 micron,3.688,15.124,4.877
WestRock MN Corp,Nitrogen Oxides,220.36,965.04,964.3
,Sulfur Dioxide,"1,207.3555","5,287.1678","5,287.09"
,Carbon Monoxide,53.418,233.79,9.5
,PM < 10 micron,84.872,365.45,8.06
Willmar Municipal Utilities,Nitrogen Oxides,478.7,"2,594.2","1,730.85"
,Sulfur Dioxide,"1,463.07","8,370.7","5,413.83"
,Carbon Monoxide,356.81,"1,474.65","1,300.85"
,PM < 10 micron,125.1,"3,742.16",430.1227358
,PM < 2.5 micron,46.21,"1,356.73",138.5627358
Wisconsin Central Limited - Duluth Ore Dock,PM < 10 micron,527.84,"2,311.9",
Wisconsin Central Ltd - Two Harbors Transshipment,PM < 10 micron,"1,321.23","7,719.14","4,135.14"
,PM < 2.5 micron,"1,321.23","7,719.14","4,135.14"
Wolkerstorfer Co Inc,Nitrogen Oxides,1.7683,7.684,
,Sulfur Dioxide,11.8339,51.756,0
,Carbon Monoxide,1.47,6.204,
,PM < 10 micron,4.8301,21.132,21.475
Worthington Diesel Generating Plant,Nitrogen Oxides,792.12,"3,469.48",0
,Sulfur Dioxide,0.42,1.68,0
,Carbon Monoxide,14.14,"8,537.04",0
,PM < 10 micron,14.84,65.1,0
,PM < 2.5 micron,14.42,63.14,
Xcel Energy - Allen S King Generating Plant,Nitrogen Oxides,"28,693.02","125,675.43","17,551.23"
,Sulfur Dioxide,"53,318.07","233,533.29","21,006.78"
,Carbon Monoxide,488.06,"2,137.62","1,966.05"
,PM < 10 micron,"1,186.733","486,352.424","5,042.757"
,PM < 2.5 micron,"4,268.051","19,548.395","2,883.482"
,Hydrogen Sulfide (H2S),0.35,138.74,1.4
Xcel Energy - Black Dog Generating Plant,Nitrogen Oxides,981.9562,"4,279.6844","1,584.1288"
,Sulfur Dioxide,24.66556,107.7337,53.2409
,Carbon Monoxide,375.1482,"1,891.0432","1,047.6004"
,PM < 10 micron,100.5473,438.5964,282.0692
,PM < 2.5 micron,100.5473,438.5964,282.0692
Xcel Energy - Blue Lake,Nitrogen Oxides,"3,988.75","17,451.21","17,069.21"
,Sulfur Dioxide,145.24,635.92,587.8
,Carbon Monoxide,69.91,301.87,39.07
,PM < 10 micron,53.88,234.56,141.16
Xcel Energy - Granite City Generating,Nitrogen Oxides,948.93,"4,156.23","4,138.51"
,Sulfur Dioxide,510.8735,"2,237.6732","2,237.47028"
,Carbon Monoxide,97,424.77,420.95
,PM < 10 micron,15.2816,66.9347,65.6886
,PM < 2.5 micron,15.28163,66.9347,65.68901
Xcel Energy - High Bridge Generating Plant,Nitrogen Oxides,"1,693.15","7,386.91",471.143
,Sulfur Dioxide,13.0982,57.8416,48.2897
,Carbon Monoxide,"23,029.6","100,866.87","103,441.5834"
,PM < 10 micron,52.151,215.131,211.4136
,PM < 2.5 micron,52.121,228.451,211.4136
Xcel Energy - Inver Hills Generating Plt,Nitrogen Oxides,"3,733.9087","16,331.7522",35.2
,Sulfur Dioxide,"2,798.7509","12,257.0384","12,261.7022"
,Carbon Monoxide,42.0978,179.50184,80.04624
,PM < 10 micron,68.4418,298.18168,291.47728
,PM < 2.5 micron,68.4658,298.1564,
Xcel Energy - Key City/Wilmarth,Nitrogen Oxides,"1,360","5,964","6,363.6"
,Sulfur Dioxide,319.16,"2,773.2",929.4
,Carbon Monoxide,381.84,"1,588.4","1,671.56"
,PM < 10 micron,130.81477,"48,036.712",572.8645
Xcel Energy - Monticello Generating Plt,Nitrogen Oxides,224.51,947.092,771.192
,Sulfur Dioxide,47.0743,207.009,153.1398
,Carbon Monoxide,42.53,258.418,199.04
,PM < 10 micron,7.8046,33.597,27.239
,PM < 2.5 micron,7.8046,33.597,27.239
Xcel Energy - Prairie Island Nuclear Plant,Nitrogen Oxides,13.13,68.68,0
,Sulfur Dioxide,139.4163,610.188877,12.3423215
,Carbon Monoxide,196.619,860.251,2.0411
,PM < 10 micron,25.1219,109.3678,0.495
,PM < 2.5 micron,25.095,109.313,0.495
Xcel Energy - Red Wing Generating Plant,Nitrogen Oxides,510.24,"2,549.4","2,235"
,Sulfur Dioxide,75.66,"13,104",331.44
,Carbon Monoxide,248.52,"3,121.8","1,088.4"
,PM < 10 micron,49.468,"11,642.796",216.4
Xcel Energy - Riverside Generating Plant,Nitrogen Oxides,"26,641.52","117,373.06","115,807.48"
,Sulfur Dioxide,"28,998.93","317,456.4","126,944.01"
,Carbon Monoxide,836.32,"3,584.34","3,494.4"
,PM < 10 micron,"7,334.23","43,534.28","9,053.3"
Xcel Energy - Sherburne Generating Plant,Nitrogen Oxides,"104,779.06","458,263.61","307,942.01"
,Sulfur Dioxide,"79,186.01","346,809.47","357,343.01"
,Carbon Monoxide,"3,015.93","13,064.31","13,064.31"
,PM < 10 micron,"76,572.95","335,343.894","28,274.02"
,PM < 2.5 micron,0.216,0.952,0.0672
Xcel Energy - Wescott LNG Plant,Nitrogen Oxides,69.7882,298.8403,67.8403
,Sulfur Dioxide,0.4363434,1.90893584,1.41393584
,Carbon Monoxide,16.077,59.3636,29.6636
,PM < 10 micron,2.522876,10.992994,10.167994
,PM < 2.5 micron,2.522876,10.992994,10.167994
