Facility,Pollutant,Potential Emis Rate (lbs/hr),Unrestricted Emis Rate (tons/yr),Limited Emis Rate (tons/yr)
,Hydrogen Sulfide (H2S),0.07435718,0.3256847,0.06701555
Central Specialties Inc - Plant 5,Nitrogen Oxides,116.054,508.7884,117.3256
,Sulfur Dioxide,81.6230975,357.85479705,74.2085647
,Carbon Monoxide,193.002789862,846.134619607,176.4605
,PM < 10 micron,478.05285,"2,099.028183",39.266122
,PM < 2.5 micron,449.882975,"1,970.4699705",31.815647
,Hydrogen Sulfide (H2S),0.07435718,0.3256847,0.06701555
Ceramic Industrial Coatings,Nitrogen Oxides,0.05,0.22,0.22
,Sulfur Dioxide,0,0,0
,Carbon Monoxide,0.01,0.05,0.05
,PM < 10 micron,0.01,0.03,0.03
CertainTeed Corp,Nitrogen Oxides,17.36,294.79,68.16
,Sulfur Dioxide,37.2642,157.2788,125.1288
,Carbon Monoxide,32.6,202.363,124.07
,PM < 10 micron,102.3552118,440.866,292.1088
Childs Road Terminal,PM < 10 micron,2.78,"5,887.47",12.21
,PM < 2.5 micron,101.78,"5,887.31",12.21
Chippewa Valley Ethanol Co LLLP,Nitrogen Oxides,323.729,"1,418.415",258.65
,Sulfur Dioxide,59.115,258.876,70.71
,Carbon Monoxide,103.054,450.54,173.752
,PM < 10 micron,17.6343,473.848,49.4243
,PM < 2.5 micron,15.6032,295.0721,38.1667
CHS,Nitrogen Oxides,21.57,70.37,70.35
,Sulfur Dioxide,2.26437,1.2391,1.24
,Carbon Monoxide,10.19,40,40
,PM < 10 micron,13.7839,693.67256,60.2277
,PM < 2.5 micron,8.702279,154.603781,39.819361
CHS Fairmont,Nitrogen Oxides,49.52,216.8,139.24
,Sulfur Dioxide,20.08,87.96,36.08
,Carbon Monoxide,15.84,69.38,69.38
,PM < 10 micron,56.58,"7,666.04",149.34
,PM < 2.5 micron,45.8,"6,967.3",146.2
CHS Mankato,Nitrogen Oxides,177.24,721.24,701.1
,Sulfur Dioxide,699.4834,"3,177.362","3,175.078"
,Carbon Monoxide,48.102,206.443,206.443
,PM < 10 micron,"3,887.9354","16,996.0674","1,159.9342"
,PM < 2.5 micron,"2,781.122","12,205.0271","1,044.6221"
Cirrus Design Corp aka Cirrus Aircraft,Nitrogen Oxides,4.83,25.13,25.13
,Sulfur Dioxide,0,0.16,0.16
,Carbon Monoxide,4.81,21.12,21.12
,PM < 10 micron,920.89,"5,024.296",0
,PM < 2.5 micron,907.354,"4,965.23",0
Co-Operative Plating Co,Nitrogen Oxides,1.442,6.32,
,Sulfur Dioxide,5.12,11.2126,
,Carbon Monoxide,0.808,3.54,
,PM < 10 micron,3.3042,14.432,0.66
,PM < 2.5 micron,3.3042,14.432,0.66
Cold Spring Granite Co - Main Campus,Nitrogen Oxides,43.75,186.6473,0
,Sulfur Dioxide,0.6803,2.5600097,2.5600097
,Carbon Monoxide,12.338,54.85523,54.0023
,PM < 10 micron,24.5054,807.041765,4.636
,PM < 2.5 micron,24.0796,942.181765,4.306
Commercial Asphalt Co - Plant 905,Nitrogen Oxides,56.8,248.4,48.8
,Sulfur Dioxide,7.6,24.56,6.7
,Carbon Monoxide,185,810,153.6
Continental Cement Co,PM < 10 micron,39.52,164.91,40.141
Corn Plus,Nitrogen Oxides,62.88,275.48,250.71
,Sulfur Dioxide,29.431,"1,251.15",127.33
,Carbon Monoxide,59.48,260.21,248.55
,PM < 10 micron,89.708,"2,817.341",382.801
,PM < 2.5 micron,88.39831,"2,482.546",380.227
Covanta Hennepin Energy Resource Co LP,Nitrogen Oxides,"1,005.9",,"4,405.8"
,Sulfur Dioxide,114,,499.3
,Carbon Monoxide,298.7,,"1,308.4"
,PM < 10 micron,100.06,97.1,438.4
CR Bard - Stewartville Operation Plant 1,Nitrogen Oxides,1.82,7.96,7.96
,Sulfur Dioxide,0.012,0.048,0.048
,Carbon Monoxide,1.52,6.68,6.68
